lat,lng,type,name
-32.219182,-58.135605,HOSPEDAJE,Hotel Plaza
-32.222931,-58.131883,HOSPEDAJE,Hotel Punta Vip
-32.211857,-58.143407,HOSPEDAJE,Postal del Río
-32.214226,-58.156516,HOSPEDAJE,Altos de Artalaz
-32.213672,-58.156913,HOSPEDAJE,Morada del Arroyo
-32.231294,-58.133373,HOSPEDAJE,Solares de Colón
-32.211067,-58.149403,HOSPEDAJE,Rincón del Río
-32.214294,-58.157161,HOSPEDAJE,Cabañas del Ysyry
-32.211639,-58.148578,HOSPEDAJE,Pal Disfrute
-32.220589,-58.236144,HOSPEDAJE,Las Casitas de Sigi
-30.97783,-57.925556,HOSPEDAJE,Hostal La Glorieta
-30.987249,-57.911673,HOSPEDAJE,Costa del Sol Hotel y Spa
-30.976634,-57.925503,HOSPEDAJE,Apart Hotel La Fuente
-30.981399,-57.927543,HOSPEDAJE,Hotel España-Federacion
-30.977922,-57.932889,HOSPEDAJE,Hotel & Spa Termas del Este
-30.978506,-57.932486,HOSPEDAJE,Piedras del Lago
-30.978193,-57.932685,HOSPEDAJE,Paraiso Termal
-30.979545,-57.930764,HOSPEDAJE,Los Angelitos
-30.979568,-57.927691,HOSPEDAJE,Santa Rita
-30.980155,-57.916684,HOSPEDAJE,Hosteria Palmas del Lago
-30.980129,-57.930481,HOSPEDAJE,El Mirador
-30.976248,-57.925657,HOSPEDAJE,Complejo Irupé
-30.968042,-57.93624,HOSPEDAJE,Las Veletas
-32.160028,-58.398567,HOSPEDAJE,Apart Hotel Los Colonos
-32.128233,-58.437728,HOSPEDAJE,Hotel Vertientes
-30.741144,-59.643767,HOSPEDAJE,Milton Hotel
-30.759062,-59.646803,HOSPEDAJE,Posada Don Alejandro
-30.758774,-59.643382,HOSPEDAJE,Las Palmeras Cabañas
-30.756662,-59.653601,HOSPEDAJE,Cabañas Don Isidro
-30.752066,-59.6469,HOSPEDAJE,Posta del Sol
-30.753039,-59.656911,HOSPEDAJE,Cheval Blanc
-30.754652,-59.653144,HOSPEDAJE,Cabañas Ibirá - Pitá
-30.758036,-59.653896,HOSPEDAJE,Tierra Greda
-31.733916,-60.527728,HOSPEDAJE,Paraná Hotel Plaza Jardín
-31.732374,-60.529681,HOSPEDAJE,Gran Hotel Paraná
-31.73815,-60.528771,HOSPEDAJE,Hotel San Jorge
-31.719333,-60.535963,HOSPEDAJE,Maran Suites & Towers
-31.723203,-60.533491,HOSPEDAJE,Tribunales Apart Hotel
-32.637198,-60.150191,HOSPEDAJE,Hotel Casablanca
-32.592564,-60.179082,HOSPEDAJE,El Molino - Resort & Spa
-32.603781,-60.16831,HOSPEDAJE,Cabañas Los Troncos
-32.485312,-58.244857,HOSPEDAJE,Hotel Gran Litoral
-32.486479,-58.231821,HOSPEDAJE,Nuevo Residencial Centro
-32.479465,-58.224687,HOSPEDAJE,Río Hotel
-32.484751,-58.242027,HOSPEDAJE,Bonato (Res. B)
-32.48276,-58.231542,HOSPEDAJE,Hotel Carlos I
-33.010175,-58.511086,HOSPEDAJE,Hotel Embajador
-33.010677,-58.511293,HOSPEDAJE,Hotel Los Robles
-33.015344,-58.50561,HOSPEDAJE,Hotel Puerto Sol
-33.010022,-58.50548,HOSPEDAJE,Aguay (4*)
-33.009518,-58.510776,HOSPEDAJE,Los Angeles
-33.017053,-58.506409,HOSPEDAJE,Posada del Puerto
-31.864879,-59.025239,HOSPEDAJE,Apart Hotel Las Liebres
-31.864601,-59.031531,HOSPEDAJE,Gran Solaz Hotel
-31.871841,-59.025786,HOSPEDAJE,Hotel Casagrande **
